"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pitch_hand"
"Wainwright, Adam","425794","2022","40","32","191.2","803","736","192","138","35","3","16","143","54",17.8,6.7,".261",".382",".315","0.697",".306",".328",37.4,6.5,36.6,"76.636927659","93.594969883",16.9,43.5,"R"
"Greinke, Zack","425844","2022","38","26","137.0","585","549","157","113","30","0","14","73","27",12.5,4.6,".286",".417",".320","0.737",".321",".336",34.4,6.8,39.6,"78.554945625","93.738299354",17.3,46.2,"R"
"Verlander, Justin","434378","2022","39","28","175.0","666","625","116","88","15","1","12","185","29",27.8,4.4,".186",".270",".227","0.497",".222",".255",32.5,6.3,34.8,"77.135794344","93.330588186",24.2,53.7,"R"
"Kluber, Corey","446372","2022","36","31","164.0","689","650","178","123","32","3","20","139","21",20.2,3,".274",".425",".304","0.729",".316",".310",35.8,6.9,34.7,"75.470981451","93.389888686",23.9,51.2,"R"
"Hill, Rich","448179","2022","42","26","124.1","526","484","125","77","27","6","15","109","37",20.7,7,".258",".432",".316","0.748",".325",".313",31.6,8.2,34,"77.422953459","93.666610461",22,47.4,"L"
"Morton, Charlie","450203","2022","38","31","172.0","728","640","149","93","26","2","28","205","63",28.2,8.7,".233",".411",".316","0.727",".320",".313",38,9.5,42.1,"78.111657215","94.430490297",29.2,45.6,"R"
"Scherzer, Max","453286","2022","37","23","145.1","565","523","108","75","20","0","13","173","24",30.6,4.2,".207",".319",".254","0.573",".254",".265",32.2,8.4,33.9,"76.73944477","93.468018937",30.6,52.2,"R"
"Cueto, Johnny","456501","2022","36","25","158.1","651","604","161","107","37","2","15","102","33",15.7,5.1,".267",".409",".308","0.717",".310",".311",33.7,7.3,35.9,"76.293622421","93.65877503",17.6,49.8,"R"
"Lynn, Lance","458681","2022","35","21","121.2","512","481","119","80","20","0","19","124","19",24.2,3.7,".247",".407",".289","0.696",".304",".296",34.3,6.7,38.7,"77.366721573","93.833569944",28.5,52.3,"R"
"Carrasco, Carlos","471911","2022","35","29","152.0","645","593","161","105","38","1","17","152","41",23.6,6.4,".272",".425",".326","0.751",".327",".313",35.2,7,39.5,"76.28136711","94.446088119",27.6,52.1,"R"
