"name_fielder","fld_name_display_club","season","position","pa","avg_norm_start_distance","avg_norm_start_angle"
"Stefanic, Michael","Angels",2022,"2B","553","152","6"
"Whitefield, Aaron","Angels",2022,"CF","64","320","1"
"Whitefield, Aaron","Angels",2022,"RF","28","289","26"
"Duffy, Matt","Angels",2022,"3B","1383","119","-30"
"Duffy, Matt","Angels",2022,"2B","277","154","5"
"Duffy, Matt","Angels",2022,"1B","492","109","33"
"Walsh, Jared","Angels",2022,"1B","4028","113","34"
"Walsh, Jared","Angels",2022,"LF","17","297","-25"
"Aguilar, Ryan","Angels",2022,"RF","130","285","26"
"Aguilar, Ryan","Angels",2022,"CF","30","320","1"
"Aguilar, Ryan","Angels",2022,"LF","72","289","-25"
"Moniak, Mickey","Angels",2022,"CF","197","320","0"
"Moniak, Mickey","Angels",2022,"LF","393","296","-26"
"Adell, Jo","Angels",2022,"RF","478","297","27"
"Adell, Jo","Angels",2022,"LF","1957","292","-26"
"Thomas, Dillon","Angels",2022,"RF","79","288","26"
"Thomas, Dillon","Angels",2022,"LF","65","292","-26"
"Lagares, Juan","Angels",2022,"RF","250","291","26"
"Lagares, Juan","Angels",2022,"CF","216","321","0"
"Lagares, Juan","Angels",2022,"LF","155","292","-25"
"Trout, Mike","Angels",2022,"CF","3930","321","0"
"MacKinnon, David","Angels",2022,"1B","194","113","33"
"MacKinnon, David","Angels",2022,"3B","147","118","-32"
"Marsh, Brandon","Angels",2022,"RF","69","289","26"
"Marsh, Brandon","Angels",2022,"LF","2516","291","-26"
"Marsh, Brandon","Angels",2022,"CF","478","319","0"
"Thaiss, Matt","Angels",2022,"1B","296","109","34"
"Thaiss, Matt","Angels",2022,"3B","19","123","-28"
"Velazquez, Andrew","Angels",2022,"SS","3810","144","-7"
"Rengifo, Luis","Angels",2022,"2B","2936","150","6"
"Rengifo, Luis","Angels",2022,"3B","1028","116","-30"
"Rengifo, Luis","Angels",2022,"RF","50","291","25"
"Rengifo, Luis","Angels",2022,"SS","423","145","-7"
"Sierra, Magneuris","Angels",2022,"RF","11","290","27"
"Sierra, Magneuris","Angels",2022,"LF","283","293","-26"
"Sierra, Magneuris","Angels",2022,"CF","737","320","0"
"Harrison, Monte","Angels",2022,"CF","27","321","0"
"Harrison, Monte","Angels",2022,"LF","131","294","-26"
"Villar, Jonathan","Angels",2022,"3B","469","113","-33"
"Wade, Tyler","Angels",2022,"2B","803","152","5"
"Wade, Tyler","Angels",2022,"CF","54","321","0"
"Wade, Tyler","Angels",2022,"LF","85","300","-27"
"Wade, Tyler","Angels",2022,"RF","142","289","26"
"Wade, Tyler","Angels",2022,"SS","376","142","-5"
"Wade, Tyler","Angels",2022,"3B","347","119","-34"
"Duggar, Steven","Angels",2022,"LF","185","288","-26"
"Duggar, Steven","Angels",2022,"CF","60","321","0"
"Rojas, Jose","Angels",2022,"LF","32","300","-25"
"Rojas, Jose","Angels",2022,"RF","180","292","26"
"Rojas, Jose","Angels",2022,"3B","304","116","-32"
"Soto, Livan","Angels",2022,"SS","556","148","-10"
"Soto, Livan","Angels",2022,"3B","23","122","-34"
"Gosselin, Phil","Angels",2022,"1B","87","116","36"
"Gosselin, Phil","Angels",2022,"3B","427","121","-31"
"Ford, Mike","Angels",2022,"1B","890","110","34"
"Mayfield, Jack","Angels",2022,"LF","57","299","-24"
"Mayfield, Jack","Angels",2022,"3B","230","122","-30"
"Mayfield, Jack","Angels",2022,"RF","103","289","26"
"Mayfield, Jack","Angels",2022,"2B","250","150","7"
"Ward, Taylor","Angels",2022,"CF","208","320","0"
"Ward, Taylor","Angels",2022,"RF","4477","290","26"
"Ward, Taylor","Angels",2022,"LF","48","295","-25"
"Rendon, Anthony","Angels",2022,"3B","1615","115","-30"
"Fletcher, David","Angels",2022,"SS","836","145","-10"
"Fletcher, David","Angels",2022,"2B","1182","153","10"
"Rivera, Emmanuel","D-backs",2022,"3B","1011","121","-30"
"Rivera, Emmanuel","D-backs",2022,"1B","107","111","32"
"Marte, Ketel","D-backs",2022,"2B","3393","149","10"
"Difo, Wilmer","D-backs",2022,"2B","36","145","8"
"Difo, Wilmer","D-backs",2022,"SS","44","143","-15"
"Hummel, Cooper","D-backs",2022,"LF","636","294","-26"
"Rojas, Josh","D-backs",2022,"2B","962","152","10"
"Rojas, Josh","D-backs",2022,"3B","3123","122","-32"
"Hager, Jake","D-backs",2022,"SS","108","147","-15"
"Hager, Jake","D-backs",2022,"2B","372","153","9"
"Hager, Jake","D-backs",2022,"3B","192","124","-32"
"Ellis, Drew","D-backs",2022,"3B","166","120","-30"
"Luplow, Jordan","D-backs",2022,"CF","131","318","1"
"Luplow, Jordan","D-backs",2022,"1B","16","106","34"
"Luplow, Jordan","D-backs",2022,"RF","947","289","27"
"Luplow, Jordan","D-backs",2022,"LF","648","294","-26"
"Thomas, Alek","D-backs",2022,"CF","3819","318","0"
"Garrett, Stone","D-backs",2022,"LF","436","300","-27"
"Peralta, David","D-backs",2022,"LF","2594","304","-27"
"Beer, Seth","D-backs",2022,"1B","150","103","33"
"Walker, Christian","D-backs",2022,"1B","5428","109","32"
"Smith, Pavin","D-backs",2022,"1B","343","110","34"
"Smith, Pavin","D-backs",2022,"RF","1375","297","27"
"Kennedy, Buddy","D-backs",2022,"3B","37","118","-26"
"Kennedy, Buddy","D-backs",2022,"2B","724","150","8"
"Varsho, Daulton","D-backs",2022,"RF","2263","293","27"
"Varsho, Daulton","D-backs",2022,"CF","1591","321","1"
"McCarthy, Jake","D-backs",2022,"LF","984","296","-28"
"McCarthy, Jake","D-backs",2022,"CF","365","322","0"
"McCarthy, Jake","D-backs",2022,"RF","1374","289","28"
"Hernández, Yonny","D-backs",2022,"2B","46","157","13"
"Hernández, Yonny","D-backs",2022,"3B","243","120","-30"
"Alcántara, Sergio","D-backs",2022,"2B","432","152","9"
"Alcántara, Sergio","D-backs",2022,"SS","447","147","-12"
"Alcántara, Sergio","D-backs",2022,"3B","1020","123","-33"
"Perdomo, Geraldo","D-backs",2022,"SS","4891","145","-13"
"Perdomo, Geraldo","D-backs",2022,"3B","186","117","-34"
"Perdomo, Geraldo","D-backs",2022,"2B","79","152","8"
"Ahmed, Nick","D-backs",2022,"SS","554","147","-14"
"Davidson, Matt","D-backs",2022,"3B","65","117","-24"
