"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Lindor, Francisco","596019","2024","579","416",0.266,0.284,-0.01799999999999996,0.477,0.531,-0.05400000000000005,0.352,0.379,-0.027000000000000024
"Duran, Jarren","680776","2024","579","401",0.293,0.276,0.01699999999999996,0.514,0.46,0.05399999999999999,0.37,0.344,0.026000000000000023
"Ohtani, Shohei","660271","2024","573","371",0.291,0.313,-0.02200000000000002,0.61,0.653,-0.04300000000000004,0.411,0.44,-0.029000000000000026
"Henderson, Gunnar","683002","2024","572","372",0.287,0.287,0,0.555,0.515,0.040000000000000036,0.395,0.383,0.01200000000000001
"Semien, Marcus","543760","2024","566","430",0.244,0.264,-0.020000000000000018,0.404,0.409,-0.004999999999999949,0.312,0.323,-0.01100000000000001
"Soto, Juan","665742","2024","566","372",0.302,0.325,-0.02300000000000002,0.612,0.689,-0.07699999999999996,0.44,0.477,-0.03699999999999998
"Volpe, Anthony","683011","2024","564","399",0.249,0.237,0.01200000000000001,0.387,0.337,0.04999999999999999,0.299,0.277,0.021999999999999964
"Witt Jr., Bobby","677951","2024","560","429",0.352,0.331,0.020999999999999963,0.619,0.611,0.008000000000000007,0.427,0.419,0.008000000000000007
"Judge, Aaron","592450","2024","560","313",0.334,0.312,0.02200000000000002,0.722,0.745,-0.02300000000000002,0.486,0.482,0.0040000000000000036
"Guerrero Jr., Vladimir","665489","2024","551","412",0.318,0.323,-0.0050000000000000044,0.549,0.582,-0.03299999999999992,0.4,0.413,-0.012999999999999956
"Alonso, Pete","624413","2024","548","358",0.243,0.252,-0.009000000000000008,0.47,0.474,-0.0040000000000000036,0.344,0.348,-0.0040000000000000036
"Tovar, Ezequiel","678662","2024","546","368",0.272,0.236,0.03600000000000003,0.456,0.394,0.062,0.321,0.285,0.03600000000000003
"Altuve, Jose","514888","2024","544","407",0.3,0.266,0.033999999999999975,0.438,0.407,0.031000000000000028,0.344,0.317,0.02699999999999997
"Contreras, William","661388","2024","542","378",0.287,0.274,0.012999999999999956,0.471,0.486,-0.015000000000000013,0.358,0.357,0.0010000000000000009
"Reynolds, Bryan","668804","2024","541","366",0.28,0.274,0.006000000000000005,0.458,0.471,-0.012999999999999956,0.348,0.352,-0.0040000000000000036
"De La Cruz, Elly","682829","2024","541","313",0.262,0.242,0.020000000000000018,0.493,0.449,0.043999999999999984,0.359,0.335,0.023999999999999966
"Adames, Willy","642715","2024","541","344",0.25,0.248,0.0020000000000000018,0.447,0.474,-0.02699999999999997,0.338,0.346,-0.007999999999999952
"Chapman, Matt","656305","2024","538","343",0.245,0.257,-0.01200000000000001,0.442,0.464,-0.02200000000000002,0.336,0.349,-0.012999999999999956
"Arraez, Luis","650333","2024","535","483",0.302,0.316,-0.014000000000000012,0.374,0.41,-0.035999999999999976,0.312,0.331,-0.019000000000000017
"Ozuna, Marcell","542303","2024","535","343",0.309,0.297,0.01200000000000001,0.594,0.625,-0.031000000000000028,0.412,0.421,-0.009000000000000008
"Schwarber, Kyle","656941","2024","534","294",0.248,0.254,-0.006000000000000005,0.474,0.494,-0.020000000000000018,0.366,0.375,-0.009000000000000008
"Ramírez, José","608070","2024","532","422",0.274,0.258,0.016000000000000014,0.531,0.456,0.07500000000000001,0.359,0.328,0.030999999999999972
"Hernández, Teoscar","606192","2024","531","334",0.265,0.25,0.015000000000000013,0.484,0.484,0,0.349,0.341,0.007999999999999952
"Olson, Matt","621566","2024","531","327",0.226,0.237,-0.010999999999999982,0.417,0.428,-0.01100000000000001,0.314,0.327,-0.013000000000000012
"Bohm, Alec","664761","2024","530","415",0.295,0.303,-0.008000000000000007,0.474,0.476,-0.0020000000000000018,0.353,0.36,-0.007000000000000006
"Carroll, Corbin","682998","2024","528","371",0.222,0.243,-0.02099999999999999,0.396,0.374,0.02200000000000002,0.309,0.316,-0.007000000000000006
"Nimmo, Brandon","607043","2024","524","315",0.227,0.243,-0.015999999999999986,0.412,0.425,-0.013000000000000012,0.332,0.343,-0.01100000000000001
"Garcia, Maikel","672580","2024","523","407",0.237,0.269,-0.03200000000000003,0.34,0.385,-0.044999999999999984,0.275,0.308,-0.032999999999999974
"Santander, Anthony","623993","2024","523","374",0.237,0.234,0.002999999999999975,0.523,0.469,0.05400000000000005,0.35,0.331,0.01899999999999996
"Profar, Jurickson","595777","2024","523","373",0.289,0.284,0.0050000000000000044,0.472,0.454,0.01799999999999996,0.373,0.365,0.008000000000000007
"Goldschmidt, Paul","502671","2024","522","336",0.228,0.243,-0.014999999999999986,0.386,0.437,-0.05099999999999999,0.294,0.319,-0.025000000000000022
"Bell, Josh","605137","2024","522","370",0.237,0.237,0,0.408,0.403,0.004999999999999949,0.311,0.309,0.0020000000000000018
"Cronenworth, Jake","630105","2024","521","374",0.249,0.272,-0.02300000000000002,0.411,0.45,-0.039000000000000035,0.321,0.345,-0.023999999999999966
"Castellanos, Nick","592206","2024","520","374",0.248,0.263,-0.015000000000000013,0.415,0.433,-0.018000000000000016,0.311,0.324,-0.013000000000000012
