"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2024","702","513",0.252,0.27,-0.018000000000000016,0.339,0.406,-0.067,0.278,0.315,-0.03699999999999998,"3.13","4.08","-0.953"
"Lugo, Seth","607625","2024","676","483",0.224,0.249,-0.024999999999999994,0.351,0.41,-0.059,0.277,0.311,-0.033999999999999975,"3.02","3.96","-0.936"
"Nola, Aaron","605400","2024","651","460",0.243,0.254,-0.01100000000000001,0.417,0.401,0.01599999999999996,0.307,0.309,-0.0020000000000000018,"3.45","3.91","-0.464"
"Berríos, José","621244","2024","645","462",0.237,0.271,-0.03400000000000003,0.412,0.458,-0.04600000000000004,0.313,0.344,-0.030999999999999972,"3.79","4.96","-1.169"
"Gilbert, Logan","669302","2024","639","443",0.2,0.231,-0.031,0.347,0.38,-0.03300000000000003,0.255,0.282,-0.02699999999999997,"3.21","3.22","-0.015"
"Houck, Tanner","656557","2024","638","450",0.234,0.258,-0.023999999999999994,0.321,0.39,-0.069,0.275,0.311,-0.035999999999999976,"3.01","3.96","-0.953"
"Anderson, Tyler","542881","2024","637","455",0.226,0.244,-0.017999999999999988,0.387,0.417,-0.02999999999999997,0.301,0.319,-0.018000000000000016,"3.46","4.19","-0.727"
"Castillo, Luis","622491","2024","631","429",0.237,0.247,-0.010000000000000009,0.396,0.406,-0.010000000000000009,0.299,0.308,-0.009000000000000008,"3.51","3.88","-0.366"
"Keller, Mitch","656605","2024","629","441",0.246,0.241,0.0050000000000000044,0.412,0.397,0.014999999999999958,0.312,0.309,0.0030000000000000027,"3.76","3.91","-0.148"
"Ragans, Cole","666142","2024","625","389",0.22,0.227,-0.007000000000000006,0.352,0.359,-0.007000000000000006,0.281,0.288,-0.006999999999999951,"3.31","3.36","-0.051"
"Burnes, Corbin","669203","2024","624","440",0.227,0.23,-0.0030000000000000027,0.357,0.37,-0.013000000000000012,0.277,0.283,-0.00599999999999995,"3.10","3.24","-0.136"
"Kirby, George","669923","2024","617","445",0.245,0.24,0.0050000000000000044,0.391,0.41,-0.01899999999999996,0.286,0.292,-0.006000000000000005,"3.40","3.46","-0.055"
"Wheeler, Zack","554430","2024","614","393",0.195,0.204,-0.00899999999999998,0.34,0.347,-0.006999999999999951,0.265,0.272,-0.007000000000000006,"2.73","2.98","-0.245"
"Skubal, Tarik","669373","2024","614","388",0.197,0.211,-0.013999999999999985,0.315,0.34,-0.025000000000000022,0.249,0.265,-0.016000000000000014,"2.49","2.83","-0.339"
