"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Thomas, Lane","657041","2024","28","359","407","83","53","19","3","8","99","38",24.3,9.3,".231",".368",".312","0.680",".300",".317",32.6,6.4,41.7,"100.426895227","94.463468826",22.2,42.5
"Vaughn, Andrew","683734","2024","26","445","485","107","66","27","0","14","108","31",22.3,6.4,".240",".396",".295","0.691",".300",".327",37,10,43.7,"100.888435906","94.719462874",22.9,48.8
"Morel, Christopher","666624","2024","25","430","499","82","53","8","1","20","128","55",25.7,11,".191",".353",".295","0.648",".287",".330",26.1,11.4,40.8,"101.383573987","94.830208426",33.8,46
"Devers, Rafael","646240","2024","27","435","497","128","63","33","5","27","119","55",23.9,11.1,".294",".579",".372","0.951",".393",".379",36.1,14.3,53.9,"104.985863063","97.42079395",29.8,50.9
"Winn, Masyn","691026","2024","22","444","484","123","86","22","4","11","80","33",16.5,6.8,".277",".419",".326","0.745",".322",".302",34.6,3.2,31.4,"97.760503626","92.880464038",18.3,48
"Goldschmidt, Paul","502671","2024","36","479","522","109","71","19","0","19","143","38",27.4,7.3,".228",".386",".287","0.673",".294",".319",32.7,9.5,48.1,"101.554420778","95.434200269",27.7,47
"Verdugo, Alex","657077","2024","28","463","518","106","68","27","1","10","80","43",15.4,8.3,".229",".356",".290","0.646",".283",".309",32,6.1,36,"98.362686","93.267593496",16.1,44
"Meyers, Jake","676694","2024","28","371","410","85","54","16","3","12","96","28",23.4,6.8,".229",".385",".294","0.679",".297",".326",35.5,8.2,40.5,"100.225949118","94.259729815",27.5,49.8
"Merrill, Jackson","701538","2024","21","436","466","127","82","21","6","18","83","21",17.8,4.5,".291",".491",".322","0.813",".345",".361",40.2,10.5,43.8,"100.556761732","94.582825126",20.2,56.9
"McMahon, Ryan","641857","2024","29","446","512","110","70","24","0","16","147","58",28.7,11.3,".247",".408",".335","0.743",".325",".331",36.4,11.3,49.7,"103.008574161","96.268190168",30.9,46.7
"Schanuel, Nolan","694384","2024","22","419","493","105","77","16","0","12","81","57",16.4,11.6,".251",".375",".348","0.723",".322",".330",36.7,4,26.3,"95.537427588","91.783304572",14.7,41.4
"Henderson, Gunnar","683002","2024","23","499","572","143","81","23","6","33","129","65",22.6,11.4,".287",".555",".374","0.929",".395",".383",33.9,12.4,54.3,"104.004547742","96.896544043",24.4,44
"Sheets, Gavin","657757","2024","28","364","406","87","54","24","1","8","88","36",21.7,8.9,".239",".376",".313","0.689",".303",".315",41.4,5.8,36,"99.092496835","93.692635921",23.6,45
"Witt Jr., Bobby","677951","2024","24","506","560","178","104","38","11","25","84","41",15,7.3,".352",".619",".402","1.021",".427",".419",36.8,14.5,49.9,"104.105459302","96.636438485",22.6,51.1
"Santana, Carlos","467793","2024","38","410","466","98","57","23","0","18","80","48",17.2,10.3,".239",".427",".326","0.753",".327",".327",31.6,7.2,39.5,"99.395130181","93.929397651",23.2,43
"Harper, Bryce","547180","2024","31","421","484","115","62","27","0","26","105","61",21.7,12.6,".273",".523",".364","0.887",".373",".361",35.5,10.4,48.1,"102.738179557","95.755894747",27.8,51.5
"Díaz, Yandy","650490","2024","32","466","510","128","91","26","1","10","79","38",15.5,7.5,".275",".399",".331","0.730",".320",".332",28.7,7.4,49.5,"103.368656701","96.271053866",13.9,44.3
"Gurriel Jr., Lourdes","666971","2024","30","457","487","125","90","19","1","15","93","22",19.1,4.5,".274",".418",".312","0.730",".316",".314",33.2,6.8,39.2,"99.387547663","93.830882425",20,51.2
"Seager, Corey","608369","2024","30","436","493","118","74","16","0","28","86","52",17.4,10.5,".271",".500",".351","0.851",".359",".398",38.1,15.6,51.1,"103.335250914","96.193371857",23.1,52.7
"France, Ty","664034","2024","29","361","406","82","53","18","0","11","95","31",23.4,7.6,".227",".368",".310","0.678",".302",".317",32.6,8.2,39.3,"99.589471493","93.967308277",23.6,48.8
"Canha, Mark","592192","2024","35","360","423","87","61","19","0","7","88","46",20.8,10.9,".242",".353",".343","0.696",".311",".291",32.1,3.6,37.5,"98.12602705","93.224048339",22.2,41.6
"Arcia, Orlando","606115","2024","29","425","463","96","65","19","0","12","93","29",20.1,6.3,".226",".355",".275","0.630",".274",".266",30.7,5,38.3,"98.521034286","93.375016071",25.5,48.8
"García, Luis","671277","2024","24","405","428","119","81","22","1","15","67","22",15.7,5.1,".294",".464",".329","0.793",".340",".347",33.3,8,41.3,"100.290587784","94.323196407",20.9,51
"Albies, Ozzie","645277","2024","27","361","394","93","56","28","1","8","61","24",15.5,6.1,".258",".407",".310","0.717",".311",".306",34.2,5.9,31.9,"96.925042566","92.54891198",20.8,56.9
"Sánchez, Jesús","660821","2024","26","381","413","91","56","19","1","15","108","26",26.2,6.3,".239",".412",".294","0.706",".305",".345",32.4,12.7,53.1,"104.884824599","97.254176557",30.7,53.3
"Suárez, Eugenio","553993","2024","32","440","498","100","57","23","2","18","138","41",27.7,8.2,".227",".411",".301","0.712",".309",".315",40,9.7,40.3,"99.897484774","94.050002362",29.3,46.9
