"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Greinke, Zack","425844","2023","39","30","142.1","593","561","158","106","25","2","25","97","23",16.4,3.9,".282",".467",".312","0.779",".332",".343",32.6,7.7,38.8,"79.099913176","94.182767312",17.3,46.8
"Verlander, Justin","434378","2023","40","27","162.1","669","615","139","89","30","2","18","144","45",21.5,6.7,".226",".369",".283","0.652",".284",".295",30.5,8.2,41.3,"79.990406017","94.269512972",22.5,49.6
"Hill, Rich","448179","2023","43","32","146.1","660","587","165","94","44","4","23","129","58",19.5,8.8,".281",".487",".351","0.838",".359",".360",37.3,10.1,39.9,"78.850617598","94.135267838",19.3,45.4
"Morton, Charlie","450203","2023","39","30","163.1","716","615","150","103","30","3","14","183","83",25.6,11.6,".244",".371",".344","0.715",".318",".330",36.8,7.8,39.1,"77.30793493","94.400073953",32.2,42.9
"Scherzer, Max","453286","2023","38","27","152.2","621","570","126","76","22","0","28","174","45",28,7.2,".221",".407",".282","0.689",".298",".281",32.2,8.5,36.9,"77.751416869","93.790833646",28.6,51
"Lynn, Lance","458681","2023","36","32","183.2","808","729","189","116","26","3","44","191","67",23.6,8.3,".259",".484",".328","0.812",".347",".337",35.2,10.4,39.3,"77.065476868","94.313936189",28.7,50.1
"Kershaw, Clayton","477132","2023","35","24","131.2","523","479","100","62","19","0","19","137","40",26.2,7.6,".209",".367",".273","0.640",".280",".300",34.7,9,39.1,"77.970437953","94.209900469",28,49.6
"Gibson, Kyle","502043","2023","35","33","192.0","807","732","198","127","43","5","23","157","55",19.5,6.8,".270",".437",".322","0.759",".326",".335",33.4,7.6,44.5,"78.377673356","94.787380789",25.3,45.6
"Cobb, Alex","502171","2023","35","28","151.1","646","600","163","107","33","4","19","131","37",20.3,5.7,".272",".435",".319","0.754",".325",".333",33.1,7,43.4,"78.162474979","94.959257569",21.7,44.9
"Darvish, Yu","506433","2023","36","24","136.1","573","517","134","89","25","2","18","141","42",24.6,7.3,".259",".420",".321","0.741",".321",".301",33,6.8,38.2,"77.260033579","93.949118786",25,46.4
"Kelly, Merrill","518876","2023","34","30","177.2","721","645","143","90","30","3","20","187","68",25.9,9.4,".222",".371",".299","0.670",".294",".313",35.1,7.8,41.8,"78.631396856","94.559456681",27,49.1
"Pérez, Martín","527048","2023","32","35","141.2","608","547","150","103","24","2","21","93","49",15.3,8.1,".274",".441",".336","0.777",".335",".338",33.1,7.6,37.2,"78.339075442","93.950532389",17.2,45.3
"Anderson, Tyler","542881","2023","33","27","141.0","629","549","146","84","40","2","20","119","64",18.9,10.2,".266",".455",".346","0.801",".345",".340",37.6,8.2,32.3,"75.818054326","93.084649767",27.8,49.7
"Cole, Gerrit","543037","2023","32","33","209.0","821","761","157","110","26","1","20","222","48",27,5.8,".206",".322",".259","0.581",".256",".289",33.7,7.6,39.2,"78.703162612","93.996080634",26,50.1
"Eovaldi, Nathan","543135","2023","33","25","144.0","577","521","117","70","27","5","15","132","47",22.9,8.1,".225",".382",".295","0.677",".296",".308",30.1,7.9,43.1,"77.314907795","94.415751825",26.3,47.8
"Gray, Sonny","543243","2023","33","32","184.0","754","689","156","111","34","3","8","183","55",24.3,7.3,".226",".319",".288","0.607",".270",".296",32.9,6.9,39.2,"78.435195138","94.126464752",26,47.7
"Hendricks, Kyle","543294","2023","33","24","137.0","578","542","138","92","30","3","13","93","27",16.1,4.7,".255",".393",".293","0.686",".296",".313",33.7,6.2,31.5,"72.3316","93.059797773",21.1,46.7
"Lyles, Jordan","543475","2023","32","31","177.2","748","689","176","87","48","2","39","120","45",16,6,".255",".501",".305","0.806",".340",".339",34.6,9.9,35.5,"78.646858035","93.749665333",20.1,48.1
"Lorenzen, Michael","547179","2023","31","29","153.0","624","567","138","91","26","1","20","111","47",17.8,7.5,".243",".399",".302","0.701",".304",".326",33.9,8,40.2,"80.116257074","94.295669956",21.6,49.4
"Wheeler, Zack","554430","2023","33","32","192.0","787","734","168","111","35","2","20","212","39",26.9,5,".229",".364",".274","0.638",".277",".277",35.1,5.1,36.4,"75.393585916","93.267420573",28.6,51.3
"Corbin, Patrick","571578","2023","33","32","180.0","790","717","210","142","34","1","33","124","57",15.7,7.2,".293",".481",".344","0.825",".353",".373",37.9,9.3,44,"80.192000808","94.927415572",21.2,45.7
"Heaney, Andrew","571760","2023","32","34","147.1","641","569","143","84","34","2","23","151","60",23.6,9.4,".251",".439",".332","0.771",".335",".327",31.4,10.2,38.6,"80.118188846","94.263143438",26.4,48.2
"Mikolas, Miles","571945","2023","34","35","201.1","860","802","226","145","50","5","26","137","39",15.9,4.5,".282",".454",".319","0.773",".330",".354",38.9,9.8,43,"80.242845536","94.593177009",16.7,49.7
"Stroman, Marcus","573186","2023","32","27","136.2","575","519","120","84","27","0","9","119","52",20.7,9,".231",".335",".304","0.639",".285",".318",30.7,5,41.4,"79.8502842","94.625671429",22.3,45.1
"Kikuchi, Yusei","579328","2023","32","32","167.2","700","646","165","110","27","1","27","181","48",25.9,6.9,".255",".426",".311","0.737",".319",".319",37.7,9,42.4,"80.862697662","94.432324264",28,48.7
"Gausman, Kevin","592332","2023","32","31","185.0","763","700","163","100","43","1","19","237","55",31.1,7.2,".233",".379",".291","0.670",".292",".303",36.9,9.9,43.3,"77.897586061","94.803198308",28.9,49.3
"Gray, Jon","592351","2023","31","29","157.1","656","582","149","110","16","1","22","142","54",21.6,8.2,".256",".400",".325","0.725",".317",".325",35.5,6.4,39.5,"78.991165586","94.126791486",26.3,50.8
"Smyly, Drew","592767","2023","34","41","142.1","626","554","147","83","36","2","26","141","56",22.5,8.9,".265",".478",".335","0.813",".348",".313",35.9,7.3,33.6,"76.258119279","93.493708582",27.1,46.6
"Taillon, Jameson","592791","2023","31","30","154.1","655","604","156","100","28","1","27","140","41",21.4,6.3,".258",".442",".308","0.750",".322",".332",36.2,10.7,38.4,"76.828018498","94.064186052",22,49.1
"Walker, Taijuan","592836","2023","30","31","172.2","733","650","155","96","35","4","20","138","71",18.8,9.7,".238",".397",".320","0.717",".313",".321",33.1,6.8,40.9,"77.901900078","94.417705363",20.5,44.1
"Williams, Trevor","592866","2023","31","30","144.1","658","593","178","110","32","2","34","111","52",16.9,7.9,".300",".533",".358","0.891",".377",".360",36.9,10.2,38.6,"77.005416033","93.997254483",19,47.1
"Rodriguez, Eduardo","593958","2023","30","26","152.2","621","563","128","86","25","2","15","143","48",23,7.7,".227",".359",".289","0.648",".284",".310",31.4,7.5,38.5,"76.990684623","94.247869548",23.8,47.8
"Weaver, Luke","596133","2023","29","29","123.2","563","515","155","83","40","3","29","109","40",19.4,7.1,".301",".559",".353","0.912",".385",".357",40.2,9.8,42,"78.04239848","94.508679902",21.6,47.3
"Gomber, Austin","596295","2023","29","27","139.0","603","552","164","100","35","3","26","87","43",14.4,7.1,".297",".513",".351","0.864",".368",".362",31.3,8.9,44.3,"79.777446652","94.9510922",19,47.5
"Pivetta, Nick","601713","2023","30","38","142.2","587","528","110","55","31","1","23","183","50",31.2,8.5,".208",".402",".283","0.685",".296",".308",40.1,11.8,43.8,"80.327621156","94.780976127",29.6,48.9
"Bassitt, Chris","605135","2023","34","33","200.0","826","749","176","108","38","2","28","186","59",22.5,7.1,".235",".403",".299","0.702",".304",".310",36,8.3,35.3,"75.819874626","93.662809412",21.9,47.3
"Clevinger, Mike","605182","2023","32","24","131.1","549","496","121","75","27","3","16","110","40",20,7.3,".244",".407",".310","0.717",".312",".312",34.9,7.2,35.9,"77.254600722","93.563543824",23.2,49.1
"Nola, Aaron","605400","2023","30","32","193.2","793","741","178","108","35","3","32","202","45",25.5,5.7,".240",".425",".283","0.708",".303",".298",36.3,8.3,38.5,"78.53543572","94.143390037",26,49.3
